Job title,Company name,Location,Job type,Experience Level,Experience years,Skills
Vulnerability Analysis & Mapping Officer (Economic/Policy Analyst),World Food Program - Other locations,"Cairo, Egypt ",Full Time,Not specified,Not Specified,"Project/Program Management,Engineering - Telecom/Technology,information technology (it),computer science,microsoft office,networks,security,english,analysis"
Analysis and Reporting Manager,Antal International - Egypt,"Cairo, Egypt ",Full Time,Not specified,Not Specified,"Operations/Management,Analyst/Research,Finance,Accounting,Financial Analysis,Financial Management,Reporting,Microsoft Office,Financial Reporting"
"Senior Analyst,Financial Planning and Analysis","S. C. Johnson & Son, Inc.","Cairo, Egypt ",Full Time,Not specified,Not Specified,"Business Development,Analyst/Research,Finance,Accounting,Financial Analysis,Commerce,Financial Management,Analysis,Financial Planning"
Financial Planning And Analysis Supervisor,Confidential,"Mohandessin, Giza, Egypt ",Full Time,Experienced,4 - 7 Yrs of Exp,"Accounting/Finance,Analyst/Research,Accounting,Analysis,ERP,CMA,Finance,Financial Management,Financial Analysis,CPA"
Financial Planning & Analysis Assistant Manager,Network International -Egypt,"New Cairo, Cairo, Egypt ",Full Time,Experienced,10 - 11 Yrs of Exp,"Accounting/Finance,Banking,Financial Analysis,Accounting,CMA,Banking,Financial Management,Reporting,Planning,Analysis"
business analysis,B-Solution,"6th of October, Giza, Egypt ",Full Time,Senior Management,1 - 20 Yrs of Exp,"Accounting/Finance,IT/Software Development,Analyst/Research,Analysis,Business Administration,Business Analysis,Commercial,Communication,Data,Information Technology (IT)"
Senior Financial Planning & Analysis,Confidential,"Mohandessin, Giza, Egypt ",Full Time,Experienced,4 - 7 Yrs of Exp,"Accounting/Finance,Finance,Financial Analysis,SAP,ERP,CMA,CFA,Accounting,Microsoft Excel,Business Administration"
Budgeting & Financial Analysis Manager,Confidential,"Gharbia, Egypt ",Full Time,Manager,8 - 10 Yrs of Exp,"Accounting/Finance,Analyst/Research,analytical,Budget,business,Finance,Financial Analysis,Planning,Financial Management,Financial"
Associate Manager - Financial Planning & Analysis,"S. C. Johnson & Son, Inc.","Cairo, Egypt ",Full Time,Not specified,Not Specified,"Project/Program Management,Engineering - Telecom/Technology,Project Management,Marketing,PMP,Information Technology (IT),Computer Science,Engineering,Microsoft Office"
Vulnerability Analysis & Mapping Officer (Economic/Policy Analyst),World Food Program - Other locations,"Cairo, Egypt ",Full Time,Not specified,Not Specified,"Project/Program Management,Engineering - Telecom/Technology,information technology (it),computer science,microsoft office,networks,security,english,analysis"
Analysis and Reporting Manager,Antal International - Egypt,"Cairo, Egypt ",Full Time,Not specified,Not Specified,"Operations/Management,Analyst/Research,Finance,Accounting,Financial Analysis,Financial Management,Reporting,Microsoft Office,Financial Reporting"
"Senior Analyst,Financial Planning and Analysis","S. C. Johnson & Son, Inc.","Cairo, Egypt ",Full Time,Not specified,Not Specified,"Business Development,Analyst/Research,Finance,Accounting,Financial Analysis,Commerce,Financial Management,Analysis,Financial Planning"
Financial Planning And Analysis Supervisor,Confidential,"Mohandessin, Giza, Egypt ",Full Time,Experienced,4 - 7 Yrs of Exp,"Accounting/Finance,Analyst/Research,Accounting,Analysis,ERP,CMA,Finance,Financial Management,Financial Analysis,CPA"
Financial Planning & Analysis Assistant Manager,Network International -Egypt,"New Cairo, Cairo, Egypt ",Full Time,Experienced,10 - 11 Yrs of Exp,"Accounting/Finance,Banking,Financial Analysis,Accounting,CMA,Banking,Financial Management,Reporting,Planning,Analysis"
business analysis,B-Solution,"6th of October, Giza, Egypt ",Full Time,Senior Management,1 - 20 Yrs of Exp,"Accounting/Finance,IT/Software Development,Analyst/Research,Analysis,Business Administration,Business Analysis,Commercial,Communication,Data,Information Technology (IT)"
Senior Financial Planning & Analysis,Confidential,"Mohandessin, Giza, Egypt ",Full Time,Experienced,4 - 7 Yrs of Exp,"Accounting/Finance,Finance,Financial Analysis,SAP,ERP,CMA,CFA,Accounting,Microsoft Excel,Business Administration"
Budgeting & Financial Analysis Manager,Confidential,"Gharbia, Egypt ",Full Time,Manager,8 - 10 Yrs of Exp,"Accounting/Finance,Analyst/Research,analytical,Budget,business,Finance,Financial Analysis,Planning,Financial Management,Financial"
Associate Manager - Financial Planning & Analysis,"S. C. Johnson & Son, Inc.","Cairo, Egypt ",Full Time,Not specified,Not Specified,"Project/Program Management,Engineering - Telecom/Technology,Project Management,Marketing,PMP,Information Technology (IT),Computer Science,Engineering,Microsoft Office"
Finance Director,Confidential,"Nasr City, Cairo, Egypt ",Full Time,Senior Management,15+ Yrs of Exp,"males_only,Accounting/Finance,CPA,Accounting,Finance,Microsoft Office,Financial Management,Financial Analysis,Corporate Finance,Forecasting,MSc"
Financial Analyst,Talaat Moustafa Group,"Giza, Egypt ",Full Time,Experienced,4 - 7 Yrs of Exp,"Accounting/Finance,Analyst/Research,Accounting,CFA,Finance,Financial Analysis,Reporting,Planning,excel,Data Analysis"
Chief Financial Officer,Confidential,"Nasr City, Cairo, Egypt ",Full Time,Manager,15+ Yrs of Exp,"Accounting/Finance,CPA,Accounting,Finance,Microsoft Office,Financial Management,Financial Analysis,Corporate Finance,Forecasting,MSc"
"Financial Planning, Budgeting & Reporting Manager",Confidential,"6th of October, Giza, Egypt ",Full Time,Manager,10+ Yrs of Exp,"Accounting/Finance,Operations/Management,Budgeting,Accounting,Finance,Financial Management,CFA,CMA,Financial Analysis,Accounting Software"
"Monitoring Assistant SC, L5",World Food Program - Other locations,"Cairo, Egypt ",Full Time,Not specified,Not Specified,"Sales/Retail,Engineering - Telecom/Technology,engineering,information technology (it),microsoft office,computer science,administration,management,english"
National_Financial Analyst | Real Estate | CFC,Dubai Festival City,"Cairo, Egypt ",Full Time,Not specified,Not Specified,"Analyst/Research,Sales/Retail,real estate,finance,financial analysis,accounting,sales,analysis,cma"
Treasury Manager,Fawry for Banking Technology and Electronic Payments S.A.E,"Smart Village, Giza, Egypt ",Full Time,Manager,8 - 12 Yrs of Exp,"Accounting/Finance,Treasury,Finance,CTP,Accounting,Financial Analysis"
Chief Accounting,Confidential,"10th of Ramadan City, Cairo, Egypt ",Full Time,Manager,10 - 15 Yrs of Exp,"males_only,Accounting/Finance,Accounting,Financial,Financial Accounting,Financial Management,Financial Analysis"
Accounting Manager,Confidential,"Mohandessin, Giza, Egypt ",Full Time,Manager,5 - 10 Yrs of Exp,"males_only,Accounting/Finance,Hospitality/Hotels/Food Services,Sales/Retail,accountant,Accounting Software,Finance,Financial Analysis,FMCG,Retail,Software"
Accountant,Talaat Moustafa Group,"New Cairo, Cairo, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,"Accounting/Finance,Finance,Financial Management,Accounting,English,Financial Analysis,Microsoft Office,Financial Accounting"
Senior Cost Accountant,Confidential,"10th of Ramadan City, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"males_only,Accounting/Finance,Manufacturing/Production,Accounting,Finance,Financial Management,Financial Analysis,Cost Accountant,Manufacturing,Microsoft Office,SAP"
Senior Business Analyst,Erada,"Maadi, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Business Development,Analyst/Research,Analysis,BI,Business Analysis,Business Development,business,Administration"
Senior Commercial Accountant,Fawry for Banking Technology and Electronic Payments S.A.E,"6th of October, Giza, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"Accounting/Finance,Financial Analysis,Accounting,Accounting Software,Communication,Finance,Financial Management"
Director of Finance,Confidential,"Qanater Khairya, Qalubia, Egypt ",Full Time,Senior Management,15 - 20 Yrs of Exp,"Accounting/Finance,Finance,Accounting,CPA,CMA,Financial Analysis,Financial Management,FMCG"
Accounting Manager,Confidential,"New Cairo, Cairo, Egypt ",Full Time,Manager,5 - 7 Yrs of Exp,"males_only,Accounting/Finance,Accounting,analytical,Financial,Finance,Financial Reporting,Financial Management,Financial Analysis,Management"
Senior Treasury Accountant (Corporate Banking),alfanar,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,5 - 12 Yrs of Exp,"Accounting/Finance,Accounting,Banking,Finance,Financial Analysis,Analysis,Cash Flow Management,Loans,Tax,Portfolio Management"
RBG Business Finance Analyst,Mashreqbank PSC,"Cairo, Egypt ",Full Time,Not specified,Not Specified,"IT/Software Development,Analyst/Research,finance,accounting,financial analysis,microsoft office,analysis,economics,banking"
Balance Sheet Analyst,Confidential,"Maadi, Cairo, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,"Accounting/Finance,Balance Sheet,Analysis,Financial Analysis,SAP"
MIS Analyst,Mashreqbank PSC,"Cairo, Egypt ",Full Time,Not specified,Not Specified,"Analyst/Research,Engineering - Telecom/Technology,information technology (it),computer science,analysis,business analysis,mis,sales,automation"
"ETIC, Financial Reporting - Senior Associate",PwC Middle East,"Cairo, Egypt ",Full Time,Not specified,Not Specified,"Operations/Management,Analyst/Research,Finance,Accounting,Financial Analysis,Financial Management,Financial Reporting,SAP,English"
"ETIC, Financial Reporting - Senior Manager",PwC Middle East,"Cairo, Egypt ",Full Time,Not specified,Not Specified,"Operations/Management,Analyst/Research,Finance,Accounting,Financial Analysis,Financial Management,Financial Reporting,SAP,English"
Cost Accountant,Confidential,"Alexandria, Egypt ",Full Time,Experienced,2 - 8 Yrs of Exp,"Accounting/Finance,Accounting,Cost Accounting,Cost Accountant,GAAP,Financial Analysis"
Accountant,Confidential,"Wadi Alnatrun, Beheira, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Manufacturing/Production,accountant,Accounting,Finance,Financial Analysis,Financial Management"
Bank Accountant,Confidential,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,5 - 6 Yrs of Exp,"Accounting/Finance,Banking,Accounting,Banking,Financial Analysis,Finance,Commerce,Microsoft Office,Business Administration,English"
Internal Audit Manager,Confidential,"10th of Ramadan City, Cairo, Egypt ",Full Time,Manager,5 - 7 Yrs of Exp,"Accounting/Finance,Operations/Management,Analyst/Research,Procedures,Accounting,Auditing,Financial Analysis,Microsoft Office,Analytical,Analysis"
Consumer Finance Director,Antal International - Egypt,"Cairo, Egypt ",Full Time,Not specified,Not Specified,"Operations/Management,C-Level Executive/GM/Director,Finance,Accounting,Financial Management,Financial Analysis,Microsoft Office,CPA,MBA"
Warranty & TAC Engineer,Mansour Automotive,"Alexandria, Egypt ",Full Time,Not specified,Not Specified,"Installation/Maintenance/Repair,Engineering - Mechanical/Electrical,Engineering,Mechanical Engineering,Warranty,Automotive,Computer Skills,Warranty Engineering,Analysis"
Credit Accountant,Confidential,"Bourj Alarab, Alexandria, Egypt ",Full Time,Experienced,4 - 6 Yrs of Exp,"Accounting/Finance,accountant,Accounting,credit,Finance,Financial Analysis"
"Retail Account Manager, Vendor Success Program (VSP) Retail Account Management (RAM)",Souq.com for E-Commerce LLC,"Cairo, Egypt ",Full Time,Not specified,Not Specified,"IT/Software Development,Sales/Retail,sales,sales skills,marketing,customer service,retail,management,project management"
Accountant,Confidential,"Maadi, Cairo, Egypt ",Full Time,Experienced,4+ Yrs of Exp,"Accounting/Finance,accountant,Accounting,Finance,Financial Analysis"
Senior General Accountant,Confidential,"6th of October, Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Accounting/Finance,Accounting,business,Financial,Financial Analysis"
Debt Collection Officer,Confidential,"Mohandessin, Giza, Egypt ",Full Time,Experienced,3+ Yrs of Exp,"Accounting/Finance,Accounting,Collection,Commerce,Finance,Debt Management,Finance Analysis,Finance Management,debt"
Business Analyst,Confidential,"New Cairo, Cairo, Egypt ",Full Time,Experienced,5 - 15 Yrs of Exp,"Business Development,IT/Software Development,Analysis,BI,business,Business Analysis,SQL,Tableau"
Senior Data Analyst,Sceel.io,"Maadi, Cairo, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,"IT/Software Development,Analyst/Research,Engineering - Telecom/Technology,Analysis,Analyst,BI,Communication skills,Computer Science,Data,Data Analysis"
Accountant Teamleader,Confidential,"Heliopolis, Cairo, Egypt ",Full Time,Manager,7+ Yrs of Exp,"Accounting/Finance,Operations/Management,Accounting,Finance,Financial Accounting,Financial Analysis,Financial Services,Finance Analysis,Finance Management,accountant"
IT Manager,Confidential,"Nasr City, Cairo, Egypt ",Full Time,Experienced,5 - 10 Yrs of Exp,"IT/Software Development,Project/Program Management,Engineering - Telecom/Technology,Analysis,Administration,Computer Engineering,Computer Hardware,Computer Science,Information Technology (IT),Management"
"Senior Accountant ( Payables, Receivables )",Confidential,"Cairo, Egypt ",Full Time,Experienced,4 - 8 Yrs of Exp,"Accounting/Finance,Accounting,Finance,Financial Analysis,Oracle,Taxes,ERP,Software,General Ledger (GL)"
Internal Audit Manager,Confidential,"Bourj Alarab, Alexandria, Egypt ",Full Time,Manager,10+ Yrs of Exp,"males_only,Accounting/Finance,Accounting,Auditing,Finance,Financial Analysis,Audit,Internal audit,Manager,auditor,Financial Accounting"
Tax & Legal Services - Tax - Accounting & Payroll - Associate - Cairo,PricewaterhouseCoopers,"Cairo, Egypt ",Full Time,Not specified,Not Specified,"Banking,Human Resources,Accounting,Finance,Tax,Financial Analysis,Financial Management,Microsoft Office,Commerce"
Accounting Manager - Manufacturing,Confidential,"6th of October, Giza, Egypt ",Full Time,Manager,10 - 15 Yrs of Exp,"Accounting/Finance,Banking,Operations/Management,AP,AR,Communication skills,ERP,Finance,Financial Management,Financial Analysis"
Cost Senior Analyst,Kandil Industries,"10th of Ramadan City, Cairo, Egypt ",Full Time,Experienced,5+ Yrs of Exp,"Accounting/Finance,Analyst/Research,Business Analysis,Finance Analysis,Accounting,Cost Accounting,Cost Analysis"
Treasury Manager,Confidential,"Alexandria, Egypt ",Full Time,Manager,10 - 12 Yrs of Exp,"Accounting/Finance,Operations/Management,Banking,Accounting,Banking Relationships,Customer Service,Finance,Management,Treasury,Financial"
"Officer, Compliance - Sanctions",Mashreqbank PSC,"Cairo, Egypt ",Full Time,Not specified,Not Specified,"Legal,Quality,Compliance,Accounting,Finance,Legal,Economics,Banking,Business Administration"
"IT Audit - Associate / Senior Associate / Manager - Risk Assurance HUB - Cairo, EG",PricewaterhouseCoopers,"Cairo, Egypt ",Full Time,Not specified,Not Specified,"IT/Software Development,Engineering - Telecom/Technology,Information Technology (IT),Auditing,Computer Science,Finance,Accounting,Financial Analysis,Computer Engineering"
Senior Bank Accountant,T&D Design,"New Cairo, Cairo, Egypt ",Full Time,Experienced,6 - 10 Yrs of Exp,"Accounting/Finance,Banking,Accounting,Finance,Treasury,Commerce,ERP,Treasury Accounting,English,Microsoft Office"
Data Analytics Manager,Mashreqbank PSC,"Cairo, Egypt ",Full Time,Not specified,Not Specified,"Analyst/Research,Engineering - Telecom/Technology,Information Technology (IT),Computer Science,SQL,Analysis,Data Analysis,Project Management,Engineering"
"ETIC, Financial Accounting - Senior Manager",PwC Middle East,"Cairo, Egypt ",Full Time,Not specified,Not Specified,"Banking,Analyst/Research,Accounting,Finance,Commerce,Financial Analysis,Financial Management,Microsoft Office,CPA"
International Business Development Executive,Confidential,"Mohandessin, Giza, Egypt ",Full Time,Experienced,3+ Yrs of Exp,"Sales/Retail,Business Development,Sales,Financial Analysis,Financial Management,Sales Target,Sales Skills,Communication,MS Office,Analytical Skills"
"ETIC, Financial Accounting - Senior Associate",PwC Middle East,"Cairo, Egypt ",Full Time,Not specified,Not Specified,"Banking,Analyst/Research,Accounting,Finance,Commerce,Financial Analysis,Financial Management,Microsoft Office,CPA"
"IT Audit - Associate / Senior Associate / Manager - Risk Assurance HUB - Cairo, EG",PwC Middle East,"Cairo, Egypt ",Full Time,Not specified,Not Specified,"IT/Software Development,Engineering - Telecom/Technology,Information Technology (IT),Auditing,Computer Science,Finance,Accounting,Financial Analysis,Computer Engineering"
Audit Manager - Chartered Accountant,Confidential,"Ismailia, Egypt ",Full Time,Manager,3 - 7 Yrs of Exp,"Accounting/Finance,Accounting,Audit,Auditing,Finance,Financial Analysis"
Corporate Treasury Manager,AlGammal Contracting,"Katameya, Cairo, Egypt ",Full Time,Experienced,10 - 12 Yrs of Exp,"Accounting/Finance,Banking,Operations/Management,Accounting Software,Finance,Financial Management,Financial Analysis,CMA,CPA,Corporate Finance"
Accounting Manager,Confidential,"Giza, Egypt ",Full Time,Manager,7 - 10 Yrs of Exp,"Accounting/Finance,Medical/Healthcare,Accounting,Commerce,Finance,Financial Management,Hospitals,Management,Financial Analysis,administrative"
Billing & Receivable Assistant Manager,Network International -Egypt,"New Cairo, Cairo, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,"Accounting/Finance,SAP,Oracle,ERP,CRM,Billing,Accounts Receivable,Financial Analysis,Finance,Accounting"
IT Manager,Confidential,"Nasr City, Cairo, Egypt ",Full Time,Manager,5+ Yrs of Exp,"IT/Software Development,Operations/Management,Engineering - Telecom/Technology,Analysis,Communication,Computer Engineering,Computer Science,Development,Information Technology (IT),Management"
Accountant Supervisor,Confidential,"Mahta Alraml, Alexandria, Egypt ",Full Time,Experienced,7 - 10 Yrs of Exp,"Accounting/Finance,Financial Analysis,Finance"
GL Senior Accountant,Fawry for Banking Technology and Electronic Payments S.A.E,"6th of October, Giza, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"Accounting/Finance,Accounting,Communication,excel,Finance,Financial Analysis,Financial Management,General Accounting,IFRS,GL"
Accounts Receivable & Collection Accountant,T&D Design,"New Cairo, Cairo, Egypt ",Full Time,Experienced,4 - 8 Yrs of Exp,"Accounting/Finance,Account Receivables,Communication Skills,Receivable,Accounts Receivable,Accounting,Finance,Financial Analysis,Microsoft Office,English"
Treasury Manager (Ex. Contracting Company),AlGammal Contracting,"Katameya, Cairo, Egypt ",Full Time,Experienced,10 - 12 Yrs of Exp,"Accounting/Finance,Banking,Operations/Management,Accounting,Accounting Software,Finance,Financial Management,Financial Analysis,CMA,CPA"
Treasury Senior accountant,AlGammal Contracting,"Katameya, Cairo, Egypt ",Full Time,Experienced,7 - 10 Yrs of Exp,"Accounting/Finance,Administration,Banking,Accounting,Accounting Software,Finance,Financial Management,Financial Analysis,CMA,CPA"
General Manager,Confidential,"New Nozha, Cairo, Egypt ",Full Time,Senior Management,10 - 15 Yrs of Exp,"Operations/Management,Communication,Finance,business,Negotiation,Operations,Planning,general manager,Marketing,Financial Management"
"ETIC, Senior Accountant - Senior Associate",PricewaterhouseCoopers,"Cairo, Egypt ",Full Time,Not specified,Not Specified,"Administration,Banking,Accounting,Finance,Financial Analysis,Financial Management,Microsoft Office,Commerce,ERP"
"Operations Manager, MENA GSF",Souq.com for E-Commerce LLC,"Cairo, Egypt ",Full Time,Not specified,Not Specified,"Marketing/PR/Advertising,Sales/Retail,sales,marketing,microsoft office,business development,operations,management,project management"
"Sr. Supervisor, ICT Projects Egypt - Giza - Orange Egypt",Orange Digital Ventures,"Cairo, Egypt ",Full Time,Not specified,Not Specified,"Engineering - Telecom/Technology,Education/Teaching,education,information technology (it),engineering,teaching,project management,ict,management"
Accountant,Egast,"Bab Sharq, Alexandria, Egypt ",Full Time,Experienced,1 - 5 Yrs of Exp,"Accounting/Finance,Microsoft Suite,Accounting Systems,Accounting Software,Accounting,Finance,Accounting Laws,GAAP,GAAS,Taxation"
Sr. GL Accountant,Confidential,"Mohandessin, Giza, Egypt ",Full Time,Experienced,4 - 7 Yrs of Exp,"Accounting/Finance,Accounting,Communication skills,English,CPA,CMA,Finance,Financial Analysis,Manufacturing,Microsoft Office"
Consolidation and Financial reporting Supervisor,Fawry for Banking Technology and Electronic Payments S.A.E,"Smart Village, Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Accounting/Finance,Banking,Accounting,Finance,Financial Analysis,Reporting,Financial Management,Commerce"
Total Quality Manager,Confidential,"6th of October, Giza, Egypt ",Full Time,Manager,7 - 10 Yrs of Exp,"R&D/Science,Manufacturing/Production,Quality,Quality Assurance,Quality Management,Manufacturing,Management,Analysis,Quality Control"
Receivable Accountant,Confidential,"Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"males_only,Accounting/Finance,Accounting,Accounts Receivable,Finance,Financial Analysis,AR"
Financial Manager,Confidential,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Senior Management,10 - 15 Yrs of Exp,"males_only,Accounting/Finance,Banking,Manufacturing/Production,Accounting,CPA,Finance,Financial Analysis"
Bank Accountant,Confidential,"Helwan, Cairo, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,"Accounting/Finance,Banking,Medical/Healthcare,accountant,Accounting,Banking,Finance,Bank,Financial Analysis,Bank Accountant"
Senior Accountant,Confidential,"Zamalek, Cairo, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,"Accounting/Finance,accountant,Finance,Financial Analysis,General Ledger,Financial"
Sr. Planning Engineer,alfanar,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,8 - 15 Yrs of Exp,"Engineering - Construction/Civil/Architecture,Electrical,Engineering,English,Planning,Technical Analysis,Analysis"
International Product Manager(pharmaceutical),Confidential,"Cairo, Egypt ",Full Time,Manager,5 - 7 Yrs of Exp,"Marketing/PR/Advertising,Pharmaceutical,Pharmaceutical,Product Management,Product Development,Medical,Analysis,Marketing"
senior business analyst,Confidential,"Cairo, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,"IT/Software Development,Analyst/Research,Business Analyst,Business Analysis,Information Technology (IT),Business Development,Analyst,SRS,Software,Computer Science"
Chief Accountant,Confidential,"6th of October, Giza, Egypt ",Full Time,Manager,10 - 10 Yrs of Exp,"Accounting/Finance,Accounting,accountant,ERP,Financial Analysis,Financial Management"
Bank Accountant,Confidential,"6th of October, Giza, Egypt ",Full Time,Experienced,3+ Yrs of Exp,"males_only,Accounting/Finance,Banking,Accounting,Finance,Financial Analysis,Bank Accountant,Bank,Banking,English"
Senior Quality manager Egypt - Cairo - Orange Business,Orange Digital Ventures,"Cairo, Egypt ",Full Time,Not specified,Not Specified,"Marketing/PR/Advertising,Quality,ERP,Information Technology (IT),Marketing,Quality Assurance,Quality Control,Advertising,Computer Science"
Legal Manager,Antal International - Egypt,"Cairo, Egypt ",Full Time,Not specified,Not Specified,"Administration,Legal,Legal,Law,Administration,Management,Office Management,Microsoft Office,Finance"
"ETIC, Financial Accounting - Senior Associate",PricewaterhouseCoopers,"Cairo, Egypt ",Full Time,Not specified,Not Specified,"Banking,Analyst/Research,Accounting,Finance,Commerce,Financial Analysis,Financial Management,Microsoft Office,CPA"
"ETIC, Financial Accounting - Senior Manager",PricewaterhouseCoopers,"Cairo, Egypt ",Full Time,Not specified,Not Specified,"Banking,Analyst/Research,Accounting,Finance,Commerce,Financial Analysis,Financial Management,Microsoft Office,CPA"
Internal Audit Manager,Egast,"Bab Sharq, Alexandria, Egypt ",Full Time,Experienced,5 - 15 Yrs of Exp,"Accounting/Finance,Operations/Management,Quality,Auditing,CMA,CPA,Financial Analysis,MS Office"
Mechanical Procurement engineer,Solera,"Cairo, Egypt ",Full Time,Entry Level,2 - 5 Yrs of Exp,"Purchasing/Procurement,Engineering - Mechanical/Electrical,Mechanical Engineering,Engineering,MS,Tendering,AutoCAD,Analysis,Procurement Engineer"
Accounting manager,Confidential,"Smouha, Alexandria, Egypt ",Full Time,Manager,12 - 16 Yrs of Exp,"males_only,Accounting/Finance,Banking,Accounting,Banking,Finance,Financial,Financial Analysis,Financial Management,excel,Financial Accounting"
Senior Treasury Accountant,Confidential,"New Cairo, Cairo, Egypt ",Full Time,Experienced,7 - 10 Yrs of Exp,"Accounting/Finance,Administration,Banking,Accounting,Finance,Financial Analysis,Financial Management,Treasury"
Purchasing Supervisor,Talaat Moustafa Group,"Rehab City, Cairo, Egypt ",Full Time,Manager,5 - 7 Yrs of Exp,"Purchasing/Procurement,Purchasing,Logistics,Business Administration,Finance,Financial Analysis,Cost Analysis,Supply Chain,FMCG,Procurement"
Internal Auditor,Confidential,"New Cairo, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Accounting/Finance,Quality,Analyst/Research,Auditing,Finance,Accounting,Financial Analysis,analytical,Tax,Financial Data Analysis"
Chief Accounting Officer,Confidential,"Dokki, Giza, Egypt ",Full Time,Experienced,5 - 10 Yrs of Exp,"Accounting/Finance,Accounting,Communication,Finance,Financial Analysis,Financial Planning,Financial Management,Leadership,Financial,Planning"
Cost Manager pharmaceutical,Confidential,"Nasr City, Cairo, Egypt ",Full Time,Manager,10 - 13 Yrs of Exp,"Accounting/Finance,Accounting,Cost Accounting,Finance,Financial Management,Financial Analysis,English,Manufacturing,Business Administration,Pharmaceutical"
SAP FI-CO Consultant,Talaat Moustafa Group,"Dokki, Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Accounting/Finance,IT/Software Development,Engineering - Telecom/Technology,SAP,Information Technology (IT),Oracle Database Administration,Integration,MM Module,Confuguration,Configuration"
CFO (Contracting experience),Confidential,"Maadi, Cairo, Egypt ",Full Time,Senior Management,12 - 15 Yrs of Exp,"Accounting/Finance,Operations/Management,C-Level Executive/GM/Director,Finance,Financial Management,Financial Analysis,Accounting,Financial,Risk Management,CFO"
Internal Auditor,Confidential,"Gharbia, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"males_only,Accounting/Finance,Quality,Audit,Analysis,Quality Assurance,Auditing,Risk Management,Accounting,Communication skills,Finance"
Accounting Manager - Agricultrual Company,Confidential,"Mohandessin, Giza, Egypt ",Full Time,Manager,15 - 20 Yrs of Exp,"Accounting/Finance,Operations/Management,Accounting Manager,Management,Financial Statements,Accounting,Financial Management,Financial Analysis,Finance"
SAP Analyst - Multinational Company,Pillars,"Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Accounting/Finance,Logistics/Supply Chain,Analyst/Research,SAP,Implementation,Computer Science,Analysis,Finance,Supply Chain"
Chief Financial Officer (CFO),Confidential,"Maadi, Cairo, Egypt ",Full Time,Senior Management,20+ Yrs of Exp,"Accounting/Finance,CFO,Acounting,Finance,Financial Analysis,Fianancial Management,Financial Controls"
Sales and Inventory Analyst,Confidential,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Analyst/Research,Sales/Retail,Microsoft Excel,Sales Analysis,Inventory analysis,Data Analytics,Microsoft Office,Analytics,Data Analyst"
Data Analytics Engineer,Erada,"Maadi, Cairo, Egypt ",Full Time,Experienced,3 - 4 Yrs of Exp,"IT/Software Development,Analyst/Research,Engineering - Telecom/Technology,analytical,Information Technology (IT),Software Engineering,Data Analytics,Data,Engineering,Analysis"
Procurement Manager,Confidential,"Agami, Alexandria, Egypt ",Full Time,Manager,15 - 20 Yrs of Exp,"males_only,Logistics/Supply Chain,Purchasing/Procurement,Procurement Manager,Supply Chain Management,Logistics,Contract Negotiation,Supplier Management,Procurement Strategy,Demand Forecasting,Tendering Process"
General Accountant - Giza,Confidential,"Mohandessin, Giza, Egypt ",Full Time,Experienced,5+ Yrs of Exp,"males_only,Accounting/Finance,Accounting,Cost Accounting,Finance,Real Estate,Construction,English,Microsoft Office,Financial Analysis,excel"
Finance Manager,Antal International - Egypt,"Cairo, Egypt ",Full Time,Not specified,Not Specified,"Banking,Operations/Management,Finance,Accounting,Financial Management,Financial Analysis,Microsoft Office,Commerce,Microsoft Excel"
Business Support Assistant to Deputy Country Director,World Food Program - Other locations,"Cairo, Egypt ",Full Time,Not specified,Not Specified,"Administration,Sales/Retail,sales,microsoft office,sales skills,finance,administration,management,commerce"
Business System Analyst,Argaam,"Mohandessin, Giza, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,"IT/Software Development,Analyst/Research,business,Analysis,Communication skills,Business Analysis,Information technology"
