Job title,Company name,Location,Job type,Experience Level,Experience years,Skills
Senior Development Engineer,Confidential,"Giza, Egypt ",Full Time,Experienced,4 - 10 Yrs of Exp,"IT/Software Development,Laravel,HTML5,Information Technology (IT),PHP,Software Development,JavaScript,Computer Science,Programming,Software Engineering"
Senior Cost Controller,COLAS RAIL Egypt,"Downtown, Cairo, Egypt ",Full Time,Experienced,5 - 10 Yrs of Exp,"Accounting/Finance,Engineering - Construction/Civil/Architecture,Engineering - Mechanical/Electrical,Finance,Cost Control,English,Communication Skills,ERP,IFRS,French"
Java Team Lead,Fawry for Banking Technology and Electronic Payments S.A.E,"Giza, Egypt ",Full Time,Manager,6 - 8 Yrs of Exp,"IT/Software Development,Operations/Management,Engineering - Telecom/Technology,Java,Management,Azure,Java Jee,ORM,SQL,Angular"
HR Manager,Confidential,"khanka, Qalubia, Egypt ",Full Time,Manager,10 - 15 Yrs of Exp,"Administration,Human Resources,Operations/Management,Human Resources (HR),Recruitment,HR,Personnel,English,Communication,OD"
District Manager-Cairo (Anti Infective),Confidential,"Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Medical/Healthcare,Sales/Retail,Pharmaceutical,Sales,Sales Target,sales skills,District Management,Management,Pharmacy,MEDICINE"
Sales Operation Specialist,Fawry for Banking Technology and Electronic Payments S.A.E,"6th of October, Giza, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,"Operations/Management,Sales/Retail,Reporting,sales skills,Sales,workforce,analytical"
Assistant Product Manager,Nahdet Misr Publishing Group,"Giza, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"Marketing/PR/Advertising,Project/Program Management,Marketing,Management,Product Management,Product,Project Management,Project"
Recruitment Specialist,GPS,"Heliopolis, Cairo, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,"Human Resources,Hiring,Human Resources (HR),Recruitment,Talent acquisition,Mass Hiring,Sourcing"
Junior SW Quality Assurance Engineer,Ejada,"Cairo, Egypt ",Full Time,Entry Level,3 - 5 Yrs of Exp,"IT/Software Development,Quality Assurance,Quality Control,Computer Science"
SW Quality Assurance Lead,Ejada,"Cairo, Egypt ",Full Time,Experienced,10+ Yrs of Exp,"IT/Software Development,CMMI,Quality Control,Information Technology (IT),Software,QA,Quality Assurance,quality"
HR Manager,B-Solution,"6th of October, Giza, Egypt ",Full Time,Manager,1 - 10 Yrs of Exp,"Administration,Human Resources,Operations/Management,Human Resources (HR),Hr manager,HR,Manager,Personnel,Recruitment"
Junior Accountant,Fawry for Banking Technology and Electronic Payments S.A.E,"6th of October, Giza, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,"Accounting/Finance,Accounting,Communication,Communication skills,Finance,Microsoft Office"
SAP HCM Consultant,Confidential,"Sheikh Zayed, Giza, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,"IT/Software Development,Engineering - Telecom/Technology,HCM,SAP Human Capital Management,Payroll,PM,SAP"
Odoo Implementer -6th october,B-Solution,"6th of October, Giza, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,"IT/Software Development,Engineering - Telecom/Technology,Information Technology (IT),Computer Science,ERP,Odoo,IT,Business Administration,Business Processes,Open Source"
Full-Stack Software Developer,Confidential,"Cairo, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,"IT/Software Development,.Net,Information Technology (IT),Software Development,SQL,JavaScript,Computer Science"
Facility Manager - Residential Compounds,Talaat Moustafa Group,"Rehab City, Cairo, Egypt ",Full Time,Manager,7 - 10 Yrs of Exp,"Administration,Installation/Maintenance/Repair,Operations/Management,Residential Compound,Facility Management,Management,Administration,Helpdesk,Maintenance,Installation"
Procurement Manager (Engineering major),Confidential,"Maadi, Cairo, Egypt ",Full Time,Manager,10 - 12 Yrs of Exp,"Logistics/Supply Chain,Purchasing/Procurement,Engineering - Mechanical/Electrical,Electrical Engineering,Procurement,Engineering,Contracting,Supply Chain,Mechanical Engineering,supply chain management"
Electrical Engineer,GPS,"10th of Ramadan City, Cairo, Egypt ",Full Time,Experienced,3 - 6 Yrs of Exp,"Installation/Maintenance/Repair,Engineering - Mechanical/Electrical,Electrical Engineering,Electrical,Mechanical Engineering,Manufacturing"
Senior SW Quality Assurance Engineer,Ejada,"Cairo, Egypt ",Full Time,Experienced,5+ Yrs of Exp,"IT/Software Development,quality,Control,Quality Control,Quality Assurance"
HR Director,Confidential,"Maadi, Cairo, Egypt ",Full Time,Manager,10+ Yrs of Exp,"Human Resources,Computer Skills,Human Resources (HR),Training,Selection,Orientation,Management,HR,Recruitment,Personnel"
Sales Specialist,Confidential,"Maadi, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"Sales/Retail,Sales,sales skills,Sales Target"
"Business , Personal assistant (French speaker)",Confidential,"Maadi, Cairo, Egypt ",Full Time,Experienced,7 - 10 Yrs of Exp,"Administration,Customer Service/Support,Operations/Management,business,Business Administration,Administration,Management,Secretary,Project Management,Office management"
senior implementer odoo - 6th october,B-Solution,"Giza, Egypt ",Full Time,Senior Management,1 - 20 Yrs of Exp,"Accounting/Finance,IT/Software Development,Engineering - Telecom/Technology,Computer Science,implementer,Information Technology (IT),Odoo,ERP"
